,host_acceptance_rate,host_response_rate,price,number_of_reviews,review_scores_location,review_scores_cleanliness,availability_365,reviews_per_month,review_scores_communication,room_type,property_type
3019,1.0,1.0,600.0,33,4.94,4.94,326,0.49,5.0,Entire home/apt,Entire guest suite
3020,0.96,1.0,604.0,97,4.96,4.93,141,1.46,4.98,Entire home/apt,Entire rental unit
3021,0.83,1.0,800.0,38,4.92,4.84,358,0.58,4.92,Entire home/apt,Entire guest suite
3022,0.89,0.8,2723.0,1,4.0,5.0,178,0.02,5.0,Private room,Private room in home
3023,1.0,0.8,1864.0,53,4.98,4.98,232,0.81,5.0,Private room,Room in boutique hotel
3024,0.97,1.0,1174.0,72,4.9,4.83,32,1.08,4.92,Entire home/apt,Entire rental unit
3025,1.0,1.0,364.0,91,4.98,4.78,151,1.39,4.97,Private room,Private room in rental unit
3026,1.0,1.0,431.0,49,4.9,4.94,158,0.73,4.96,Private room,Private room in rental unit
3027,1.0,1.0,929.0,157,4.97,4.86,333,2.31,4.87,Entire home/apt,Entire loft
3028,0.71,1.0,1286.0,0,4.95,4.7,362,0.57,4.86,Private room,Private room in condo
3029,0.71,1.0,500.0,39,4.95,4.7,365,0.57,4.86,Private room,Private room in rental unit
3030,0.89,1.0,440.0,20,4.75,4.85,293,0.88,4.9,Entire home/apt,Entire guest suite
3031,1.0,1.0,350.0,1,5.0,5.0,362,0.04,5.0,Entire home/apt,Entire rental unit
3032,0.76,1.0,350.0,15,4.93,4.67,362,0.22,4.73,Private room,Private room in rental unit
3033,1.0,1.0,613.0,674,4.77,4.89,158,10.09,4.97,Entire home/apt,Entire rental unit
3034,1.0,0.0,300.0,1,5.0,5.0,83,0.08,4.0,Private room,Private room in hostel
3035,0.0,0.0,450.0,0,5.0,4.96,365,0.37,4.96,Private room,Private room in condo
3036,0.92,1.0,330.0,23,5.0,4.96,18,0.37,4.96,Private room,Private room in home
3037,1.0,1.0,2175.0,63,5.0,4.89,202,0.95,4.94,Entire home/apt,Entire condo
3038,1.0,1.0,1447.0,261,4.97,4.91,86,3.84,4.97,Entire home/apt,Entire loft
3039,0.0,1.0,380.0,0,5.0,5.0,83,0.02,5.0,Private room,Private room in guest suite
3040,0.0,1.0,300.0,1,5.0,5.0,364,0.02,5.0,Shared room,Shared room in rental unit
3041,0.99,1.0,250.0,20,4.9,4.65,0,0.3,4.95,Private room,Private room in rental unit
3042,0.99,1.0,411.0,34,4.88,4.74,362,0.51,4.88,Private room,Private room in rental unit
3043,0.95,0.91,2540.0,175,4.87,4.92,81,2.6,4.88,Entire home/apt,Entire rental unit
3044,0.82,0.98,2008.0,10,4.78,4.67,302,0.15,4.78,Entire home/apt,Entire rental unit
3045,1.0,1.0,853.0,21,4.9,4.95,157,0.32,5.0,Private room,Private room in condo
3046,0.0,1.0,500.0,86,4.94,4.74,33,1.3,4.99,Private room,Private room in rental unit
3047,0.99,1.0,1900.0,4,5.0,4.5,344,0.06,4.75,Entire home/apt,Entire rental unit
3048,0.99,1.0,1654.0,193,4.98,4.88,58,2.91,4.89,Entire home/apt,Entire loft
3049,0.96,1.0,535.0,9,4.88,4.5,83,0.14,4.63,Private room,Private room in condo
3050,0.96,1.0,726.0,165,4.96,4.94,122,2.48,4.95,Entire home/apt,Entire loft
3051,0.96,1.0,4938.0,79,4.8,4.9,347,1.2,4.89,Entire home/apt,Entire home
3052,0.94,1.0,692.0,81,4.91,4.9,341,1.58,4.9,Entire home/apt,Entire rental unit
3053,1.0,1.0,2729.0,78,4.97,5.0,305,1.16,5.0,Private room,Room in boutique hotel
3054,1.0,1.0,1968.0,10,5.0,4.9,120,0.17,5.0,Entire home/apt,Entire condo
3055,1.0,1.0,2027.0,0,5.0,4.8,90,0.48,5.0,Private room,Private room in guesthouse
3056,1.0,1.0,2377.0,30,5.0,4.8,47,0.48,5.0,Entire home/apt,Entire condo
3057,1.0,1.0,1294.0,51,5.0,4.75,51,0.79,5.0,Entire home/apt,Entire loft
3058,0.0,0.5,990.0,1,4.82,4.84,197,0.02,4.84,Entire home/apt,Entire loft
3059,1.0,1.0,950.0,0,4.82,4.84,365,1.67,4.84,Entire home/apt,Tiny home
3060,0.99,1.0,770.0,110,4.82,4.84,306,1.67,4.84,Entire home/apt,Entire rental unit
3061,0.99,0.98,7029.0,279,4.99,4.96,192,4.2,4.95,Entire home/apt,Entire serviced apartment
3062,0.99,1.0,966.0,143,4.86,4.91,309,2.16,4.94,Entire home/apt,Entire rental unit
3063,0.82,0.98,1174.0,14,4.86,4.86,294,0.21,4.86,Entire home/apt,Entire rental unit
3064,0.5,1.0,450.0,15,4.86,4.57,90,0.23,4.71,Private room,Private room in rental unit
3065,1.0,1.0,600.0,6,5.0,4.8,0,0.09,5.0,Private room,Private room
3066,0.2,1.0,1300.0,13,4.85,4.85,364,0.2,4.92,Entire home/apt,Entire rental unit
3067,1.0,1.0,1089.0,13,4.92,4.77,354,0.2,4.77,Private room,Private room in home
3068,1.0,1.0,980.0,5,4.8,4.8,308,0.12,4.8,Entire home/apt,Entire loft
3069,1.0,0.96,1282.0,457,4.93,4.69,355,6.88,4.79,Entire home/apt,Entire rental unit
3070,0.95,1.0,857.0,195,4.91,4.95,30,2.93,4.99,Entire home/apt,Entire guest suite
3071,0.99,1.0,278.0,257,4.97,4.86,325,4.19,4.91,Private room,Private room in home
3072,0.89,1.0,230.0,17,4.82,4.88,347,0.26,5.0,Private room,Private room in rental unit
3073,0.94,0.9,280.0,2,5.0,5.0,294,0.11,5.0,Private room,Private room in hostel
3074,0.82,0.98,400.0,0,4.89,4.92,365,1.27,4.84,Private room,Private room in home
3075,0.82,0.98,1852.0,84,4.89,4.92,340,1.27,4.84,Entire home/apt,Entire rental unit
3076,1.0,1.0,526.0,53,4.81,4.96,70,0.81,5.0,Entire home/apt,Entire rental unit
3077,0.82,0.98,1720.0,23,4.87,5.0,317,0.35,4.83,Entire home/apt,Entire rental unit
3078,0.82,0.98,1626.0,23,5.0,4.91,339,0.35,4.91,Entire home/apt,Entire rental unit
3079,0.99,1.0,5588.0,12,4.67,4.92,249,0.19,4.5,Entire home/apt,Room in aparthotel
3080,1.0,1.0,2033.0,143,4.94,4.94,77,2.15,4.95,Entire home/apt,Entire condo
3081,0.94,1.0,2179.0,97,4.98,4.84,145,1.47,4.88,Entire home/apt,Entire home
3082,0.99,1.0,4816.0,3,5.0,5.0,266,0.24,4.33,Private room,Private room in serviced apartment
3083,0.67,0.98,1237.0,3,5.0,4.0,365,0.05,4.67,Private room,Private room in serviced apartment
3084,0.82,0.98,3602.0,16,4.81,4.88,346,0.25,4.88,Entire home/apt,Entire rental unit
3085,0.82,0.98,721.0,19,4.61,4.84,9,0.28,4.74,Entire home/apt,Entire rental unit
3086,1.0,1.0,1900.0,169,4.93,4.81,363,2.51,4.85,Entire home/apt,Entire loft
3087,0.99,1.0,800.0,232,4.99,4.98,158,3.48,4.99,Private room,Private room in home
3088,0.99,1.0,800.0,113,4.96,4.95,168,1.7,4.96,Private room,Private room in home
3089,0.99,1.0,1600.0,24,4.96,5.0,160,0.36,4.96,Private room,Private room in home
3090,1.0,1.0,1374.0,51,4.9,4.45,360,0.77,4.16,Entire home/apt,Entire rental unit
3091,0.98,1.0,1646.0,134,4.93,4.92,139,2.02,4.91,Entire home/apt,Entire rental unit
3092,0.67,1.0,1087.0,3,4.0,3.67,365,0.05,4.67,Entire home/apt,Entire rental unit
3093,0.99,1.0,895.0,164,4.94,4.75,365,2.96,4.91,Entire home/apt,Entire rental unit
3094,0.87,0.93,536.0,80,4.99,4.57,358,1.21,4.73,Private room,Private room in loft
3095,0.97,1.0,1450.0,18,4.72,4.94,360,0.36,5.0,Entire home/apt,Entire rental unit
3096,1.0,1.0,1232.0,57,4.93,4.88,0,0.85,4.91,Entire home/apt,Entire rental unit
3097,1.0,1.0,800.0,0,4.94,4.86,356,0.54,4.94,Entire home/apt,Entire place
3098,1.0,1.0,890.0,36,4.94,4.86,88,0.54,4.94,Entire home/apt,Entire rental unit
3099,1.0,1.0,665.0,198,4.89,4.93,342,3.49,4.81,Entire home/apt,Earthen home
3100,1.0,1.0,1229.0,129,4.95,4.77,365,1.95,4.93,Entire home/apt,Entire serviced apartment
3101,1.0,1.0,907.0,281,4.77,4.94,218,4.23,4.97,Entire home/apt,Entire serviced apartment
3102,0.95,1.0,320.0,5,5.0,5.0,97,0.08,5.0,Private room,Private room in rental unit
3103,0.94,0.9,280.0,2,5.0,5.0,47,0.03,5.0,Private room,Private room in hostel
3104,0.82,0.98,9540.0,55,4.87,4.81,341,0.83,4.89,Entire home/apt,Entire rental unit
3105,0.0,0.5,230.0,14,5.0,5.0,0,0.21,5.0,Private room,Private room in rental unit
3106,0.92,0.63,250.0,21,5.0,4.52,325,0.34,4.62,Private room,Private room in home
3107,1.0,1.0,640.0,1,1.0,1.0,362,0.2,1.0,Private room,Private room in home
3108,0.99,1.0,454.0,94,5.0,4.9,61,1.42,5.0,Private room,Private room in home
3109,1.0,1.0,426.0,281,4.87,4.82,258,4.35,4.93,Private room,Private room in home
3110,1.0,0.9,250.0,28,4.86,4.32,26,0.42,5.0,Shared room,Shared room in rental unit
3111,1.0,1.0,908.0,67,4.81,4.99,63,1.06,5.0,Entire home/apt,Entire condo
3112,0.98,0.98,2300.0,77,4.45,4.79,359,1.19,4.69,Entire home/apt,Entire rental unit
3113,0.98,1.0,274.0,0,4.57,4.43,180,0.11,4.29,Private room,Private room in home
3114,0.98,1.0,1199.0,7,4.57,4.43,365,0.11,4.29,Entire home/apt,Entire rental unit
3115,0.98,1.0,1299.0,12,4.83,4.17,365,0.19,4.92,Entire home/apt,Entire serviced apartment
3116,1.0,0.92,871.0,66,4.89,4.71,349,1.0,4.77,Entire home/apt,Entire serviced apartment
3117,0.73,1.0,1100.0,50,4.92,4.86,364,0.76,4.88,Entire home/apt,Entire serviced apartment
3118,0.49,0.9,450.0,91,4.98,4.96,331,1.39,4.97,Private room,Private room in rental unit
3119,0.0,1.0,270.0,1,5.0,4.75,87,0.02,4.5,Shared room,Shared room in rental unit
3120,1.0,1.0,450.0,13,5.0,4.75,180,0.2,4.5,Shared room,Shared room in rental unit
3121,1.0,1.0,1388.0,262,4.9,4.73,222,3.95,4.83,Entire home/apt,Entire condo
3122,0.99,1.0,935.0,184,4.84,4.91,168,2.76,4.97,Entire home/apt,Entire loft
3123,1.0,1.0,1064.0,325,4.96,4.64,361,4.94,4.94,Entire home/apt,Entire rental unit
3124,1.0,1.0,447.0,243,4.99,4.99,335,3.7,4.97,Private room,Private room in rental unit
3125,1.0,1.0,886.0,160,4.97,4.78,307,2.56,4.98,Entire home/apt,Entire loft
3126,0.63,1.0,500.0,23,5.0,4.96,158,0.35,5.0,Private room,Private room in rental unit
3127,0.75,1.0,990.0,1,5.0,5.0,180,0.64,5.0,Entire home/apt,Entire condo
3128,0.97,1.0,1600.0,108,4.95,4.88,171,1.64,4.83,Entire home/apt,Entire rental unit
3129,0.99,0.92,900.0,2,5.0,5.0,350,0.03,5.0,Private room,Private room in rental unit
3130,0.66,0.95,4539.0,1,4.96,4.65,173,0.02,4.8,Private room,Private room in rental unit
3131,0.98,1.0,990.0,98,4.96,4.65,355,1.49,4.8,Entire home/apt,Entire rental unit
3132,0.92,0.63,250.0,28,4.93,4.61,359,0.46,4.93,Private room,Private room in home
3133,1.0,1.0,752.0,43,4.86,4.95,144,0.64,4.98,Entire home/apt,Entire rental unit
3134,1.0,1.0,375.0,17,4.24,4.71,333,0.37,4.94,Entire home/apt,Entire rental unit
3135,1.0,1.0,1383.0,11,4.64,4.45,156,0.46,4.64,Private room,Private room in rental unit
3136,0.82,1.0,1150.0,63,4.76,4.71,360,0.95,4.92,Entire home/apt,Entire loft
3137,0.82,1.0,1150.0,67,4.7,4.79,363,1.01,4.79,Entire home/apt,Entire loft
3138,0.99,1.0,541.0,310,4.9,4.86,72,4.7,4.97,Entire home/apt,Entire condo
3139,0.87,1.0,609.0,24,4.54,4.83,356,1.57,5.0,Entire home/apt,Entire rental unit
3140,1.0,1.0,750.0,8,4.63,4.63,301,0.12,5.0,Private room,Private room in rental unit
3141,0.0,0.4,560.0,18,4.94,5.0,172,0.27,5.0,Entire home/apt,Entire rental unit
3142,1.0,1.0,1253.0,103,4.97,4.98,353,1.55,4.91,Entire home/apt,Entire rental unit
3143,0.82,1.0,1150.0,71,4.85,4.82,362,1.07,4.96,Entire home/apt,Entire loft
3144,0.57,0.82,5376.0,1,5.0,5.0,362,0.02,5.0,Entire home/apt,Entire rental unit
3145,1.0,1.0,200.0,1,1.0,1.0,365,0.02,1.0,Shared room,Shared room in rental unit
3146,1.0,1.0,764.0,0,4.95,4.81,83,4.1,4.84,Private room,Private room in rental unit
3147,1.0,1.0,1823.0,269,4.95,4.81,345,4.1,4.84,Entire home/apt,Entire rental unit
3148,1.0,1.0,1300.0,37,4.89,4.65,365,0.56,4.86,Entire home/apt,Entire loft
3149,1.0,1.0,1343.0,94,4.95,4.98,0,1.41,4.99,Entire home/apt,Entire rental unit
3150,1.0,1.0,750.0,26,4.58,4.65,37,0.4,4.92,Entire home/apt,Entire rental unit
3151,1.0,1.0,330.0,22,4.91,4.86,89,0.41,5.0,Private room,Private room in guest suite
3152,0.8,1.0,1915.0,34,4.97,4.81,363,0.52,4.97,Entire home/apt,Entire rental unit
3153,0.83,1.0,869.0,19,5.0,4.79,168,0.41,4.95,Entire home/apt,Entire rental unit
3154,1.0,1.0,689.0,126,4.79,4.83,350,1.99,4.79,Entire home/apt,Entire guesthouse
3155,1.0,0.99,2259.0,369,4.97,4.93,171,5.8,4.89,Entire home/apt,Entire rental unit
3156,1.0,0.99,2259.0,300,4.99,4.97,149,4.65,4.89,Entire home/apt,Entire rental unit
3157,1.0,1.0,929.0,85,4.65,4.54,354,1.28,4.82,Entire home/apt,Entire rental unit
3158,1.0,0.97,1450.0,154,4.99,4.58,118,2.34,4.91,Entire home/apt,Entire rental unit
3159,1.0,1.0,800.0,1,3.0,3.0,365,0.02,5.0,Private room,Private room in home
3160,1.0,1.0,1527.0,203,4.95,4.93,319,3.05,4.96,Entire home/apt,Entire rental unit
3161,0.5,1.0,291.0,0,5.0,4.74,302,0.41,4.78,Private room,Private room in home
3162,0.98,1.0,2481.0,27,5.0,4.74,349,0.41,4.78,Entire home/apt,Entire rental unit
3163,0.75,1.0,329.0,2,5.0,5.0,52,0.37,5.0,Entire home/apt,Entire guesthouse
3164,1.0,1.0,2157.0,9,5.0,5.0,334,1.93,5.0,Entire home/apt,Entire condo
3165,0.0,1.0,3000.0,15,5.0,4.93,30,0.23,5.0,Private room,Private room in rental unit
3166,1.0,1.0,700.0,9,5.0,5.0,0,0.16,4.78,Entire home/apt,Entire rental unit
3167,0.93,1.0,1193.0,57,4.95,4.79,328,0.9,4.93,Entire home/apt,Entire rental unit
3168,0.73,1.0,1052.0,31,5.0,4.74,0,0.47,4.97,Entire home/apt,Entire rental unit
3169,1.0,0.99,2259.0,212,4.96,4.94,298,3.25,4.91,Entire home/apt,Entire rental unit
3170,1.0,0.9,680.0,37,5.0,4.92,66,0.56,4.97,Private room,Private room in guest suite
3171,0.71,0.9,1779.0,138,5.0,4.94,35,2.09,4.89,Entire home/apt,Entire rental unit
3172,1.0,1.0,768.0,60,5.0,4.77,353,0.91,4.97,Entire home/apt,Entire loft
3173,1.0,1.0,850.0,20,4.71,4.82,183,0.31,4.71,Entire home/apt,Entire rental unit
3174,0.89,1.0,4814.0,106,4.97,4.86,54,1.77,4.96,Entire home/apt,Entire rental unit
3175,0.9,1.0,4539.0,64,4.89,4.61,89,0.97,4.88,Entire home/apt,Entire rental unit
3176,1.0,1.0,380.0,3,4.0,4.33,88,0.05,5.0,Private room,Private room in home
3177,1.0,1.0,1675.0,164,4.96,4.71,362,2.52,4.91,Entire home/apt,Entire rental unit
3178,0.0,0.0,600.0,0,4.74,4.72,268,3.65,4.79,Entire home/apt,Entire rental unit
3179,1.0,1.0,491.0,242,4.74,4.72,350,3.65,4.79,Entire home/apt,Entire loft
3180,0.82,1.0,1291.0,228,4.96,4.71,34,3.47,4.91,Entire home/apt,Entire rental unit
3181,0.82,1.0,1150.0,66,4.85,4.74,365,1.0,4.8,Entire home/apt,Entire loft
3182,1.0,1.0,1735.0,92,5.0,4.93,320,1.92,4.92,Entire home/apt,Entire condo
3183,0.98,1.0,1162.0,105,4.98,4.89,58,1.59,4.97,Entire home/apt,Entire rental unit
3184,1.0,1.0,749.0,48,4.94,4.79,0,0.74,4.91,Entire home/apt,Entire condo
3185,0.73,1.0,250.0,14,4.83,4.83,0,0.22,5.0,Private room,Private room in rental unit
3186,0.33,1.0,1764.0,9,4.88,4.67,124,0.14,5.0,Entire home/apt,Entire home
3187,0.71,1.0,1500.0,17,5.0,4.18,333,0.27,4.88,Entire home/apt,Entire loft
3188,1.0,1.0,261.0,11,4.73,4.64,87,0.17,5.0,Private room,Private room in home
3189,0.74,1.0,4539.0,133,4.99,4.95,83,2.03,4.98,Entire home/apt,Entire rental unit
3190,0.74,1.0,1500.0,37,4.95,5.0,12,0.57,5.0,Entire home/apt,Entire rental unit
3191,0.74,1.0,1071.0,93,4.94,4.84,265,1.43,4.99,Entire home/apt,Entire townhouse
3192,1.0,1.0,1216.0,154,4.86,4.81,180,2.39,4.95,Entire home/apt,Entire rental unit
3193,1.0,1.0,1500.0,76,4.95,4.9,42,1.15,4.82,Entire home/apt,Entire loft
3194,1.0,0.92,803.0,65,4.83,4.78,342,0.99,4.82,Entire home/apt,Entire rental unit
3195,1.0,1.0,809.0,206,4.99,4.95,261,3.23,4.89,Entire home/apt,Entire condo
3196,1.0,1.0,1500.0,136,4.99,4.79,291,2.24,4.85,Hotel room,Room in serviced apartment
3197,0.83,1.0,424.0,20,4.45,4.65,360,0.3,4.85,Private room,Private room in condo
3198,1.0,1.0,750.0,0,4.86,4.86,179,0.11,5.0,Private room,Private room in rental unit
3199,1.0,1.0,1450.0,7,4.86,4.86,153,0.11,5.0,Entire home/apt,Entire loft
3200,1.0,1.0,1151.0,359,4.98,4.87,147,5.51,4.86,Entire home/apt,Entire rental unit
3201,0.5,1.0,360.0,0,4.77,4.61,358,1.05,4.87,Private room,Private room in rental unit
3202,0.5,1.0,403.0,70,4.77,4.61,263,1.05,4.87,Private room,Private room in rental unit
3203,0.5,1.0,8844.0,85,4.82,4.89,271,1.38,4.86,Entire home/apt,Entire condo
3204,0.5,1.0,1271.0,0,4.95,4.94,177,3.98,4.89,Private room,Private room in guest suite
3205,0.98,1.0,1550.0,260,4.95,4.94,159,3.98,4.89,Entire home/apt,Entire condo
3206,1.0,1.0,324.0,40,4.93,4.85,332,0.65,5.0,Entire home/apt,Entire guest suite
3207,1.0,1.0,2729.0,53,4.92,5.0,311,0.8,5.0,Private room,Room in boutique hotel
3208,0.0,1.0,400.0,7,5.0,5.0,363,0.11,5.0,Private room,Private room in rental unit
3209,0.0,1.0,753.0,78,4.85,5.0,365,1.18,4.99,Entire home/apt,Entire rental unit
3210,0.0,1.0,5000.0,0,5.0,5.0,88,0.05,5.0,Entire home/apt,Entire place
3211,0.0,1.0,450.0,3,5.0,5.0,89,0.05,5.0,Private room,Private room in rental unit
3212,1.0,1.0,599.0,22,4.86,4.91,270,0.35,5.0,Entire home/apt,Entire rental unit
3213,0.9,1.0,266.0,16,4.75,4.5,83,0.25,4.94,Private room,Private room in rental unit
3214,1.0,1.0,799.0,98,4.91,4.5,360,1.5,4.93,Entire home/apt,Entire rental unit
3215,0.88,1.0,900.0,17,4.94,4.82,1,0.26,5.0,Entire home/apt,Entire condo
3216,0.99,1.0,800.0,83,5.0,4.99,174,1.25,5.0,Private room,Private room in home
3217,1.0,1.0,1085.0,33,4.67,4.73,88,0.51,4.85,Entire home/apt,Entire rental unit
3218,0.83,1.0,855.0,41,5.0,4.8,337,0.65,4.95,Entire home/apt,Entire rental unit
3219,1.0,1.0,1031.0,146,4.9,4.8,146,2.24,4.91,Entire home/apt,Entire rental unit
3220,0.99,1.0,280.0,352,4.89,4.64,66,5.4,4.91,Private room,Private room in home
3221,0.96,1.0,1900.0,152,4.93,4.68,117,2.3,4.85,Entire home/apt,Entire rental unit
3222,0.0,0.0,450.0,0,5.0,5.0,0,0.03,5.0,Entire home/apt,Entire home
3223,0.0,0.0,1000.0,2,5.0,5.0,333,0.03,5.0,Private room,Private room in condo
3224,0.7,0.0,8230.0,0,5.0,4.5,365,0.13,5.0,Private room,Private room in home
3225,0.7,1.0,762.0,8,5.0,4.5,339,0.13,5.0,Entire home/apt,Entire condo
3226,0.98,1.0,762.0,56,4.96,4.86,147,0.86,4.95,Entire home/apt,Entire rental unit
3227,1.0,1.0,3000.0,58,4.88,4.86,293,0.89,4.79,Entire home/apt,Entire rental unit
3228,1.0,1.0,1268.0,62,4.66,4.92,243,0.97,4.89,Entire home/apt,Entire rental unit
3229,0.0,0.0,1556.0,3,5.0,4.5,365,0.05,5.0,Private room,Private room in rental unit
3230,1.0,1.0,1273.0,131,4.96,4.9,340,2.15,4.78,Entire home/apt,Entire rental unit
3231,1.0,1.0,650.0,14,4.86,4.79,358,0.21,4.93,Private room,Private room in rental unit
3232,0.5,1.0,500.0,49,4.8,4.84,177,0.76,4.98,Private room,Private room in home
3233,0.98,1.0,1500.0,64,4.95,4.79,361,0.99,4.92,Entire home/apt,Entire condo
3234,1.0,1.0,1507.0,115,4.92,4.51,306,1.78,4.96,Entire home/apt,Entire rental unit
3235,1.0,1.0,921.0,13,5.0,4.92,365,0.2,4.85,Entire home/apt,Entire serviced apartment
3236,1.0,1.0,739.0,106,4.74,4.94,346,1.61,4.98,Entire home/apt,Entire loft
3237,0.98,1.0,1599.0,19,4.84,4.63,365,0.29,4.95,Entire home/apt,Entire rental unit
3238,0.96,1.0,500.0,2,5.0,5.0,89,0.04,5.0,Private room,Private room in rental unit
3239,0.98,1.0,999.0,9,4.89,4.44,365,0.15,5.0,Entire home/apt,Entire serviced apartment
3240,1.0,1.0,703.0,87,4.8,4.92,355,1.35,4.91,Entire home/apt,Entire loft
3241,1.0,1.0,1022.0,245,4.98,4.89,177,3.77,4.98,Entire home/apt,Entire loft
3242,0.97,1.0,1600.0,64,4.92,4.75,41,0.98,4.84,Entire home/apt,Entire rental unit
3243,0.98,1.0,999.0,9,4.78,4.78,365,0.17,4.67,Entire home/apt,Entire serviced apartment
3244,0.98,1.0,1399.0,8,5.0,4.63,346,0.12,5.0,Entire home/apt,Entire loft
3245,0.98,1.0,2743.0,147,4.97,4.93,254,2.27,4.91,Entire home/apt,Entire rental unit
3246,0.03,0.13,350.0,7,5.0,4.86,363,0.11,4.86,Shared room,Shared room in rental unit
3247,1.0,1.0,445.0,120,4.94,4.9,340,1.96,4.97,Private room,Private room in rental unit
3248,0.88,0.83,1000.0,28,4.71,4.64,161,0.44,4.96,Entire home/apt,Entire rental unit
3249,0.96,1.0,393.0,136,4.93,4.73,361,2.08,4.92,Private room,Private room in condo
3250,1.0,1.0,732.0,4,5.0,5.0,301,0.06,5.0,Entire home/apt,Entire loft
3251,0.89,1.0,1029.0,464,4.8,4.95,301,7.47,4.94,Private room,Private room in home
3252,0.89,1.0,850.0,75,4.91,4.93,272,1.19,4.99,Entire home/apt,Entire rental unit
3253,0.75,0.98,300.0,0,4.76,4.92,2,8.02,4.96,Private room,Private room in guest suite
3254,1.0,0.98,996.0,497,4.76,4.92,298,8.02,4.96,Private room,Private room in rental unit
3255,1.0,0.98,1189.0,1,4.0,5.0,217,0.02,5.0,Private room,Room in boutique hotel
3256,0.82,0.98,2360.0,6,4.67,5.0,344,0.09,4.83,Entire home/apt,Entire rental unit
3257,1.0,1.0,508.0,157,4.98,4.94,282,2.42,4.92,Private room,Private room
3258,0.98,1.0,700.0,61,4.98,4.8,338,0.97,4.85,Private room,Private room in home
3259,1.0,1.0,450.0,78,4.91,4.82,210,1.2,5.0,Entire home/apt,Entire rental unit
3260,1.0,1.0,2014.0,95,4.96,4.79,337,1.48,4.82,Entire home/apt,Entire rental unit
3261,0.98,1.0,2000.0,1,4.98,4.35,88,0.02,4.8,Private room,Private room in home
3262,0.98,1.0,3500.0,46,4.98,4.35,336,0.71,4.8,Entire home/apt,Entire home
3263,1.0,1.0,1271.0,13,4.85,5.0,363,0.21,5.0,Entire home/apt,Entire condo
3264,0.87,1.0,1289.0,68,4.87,4.87,356,1.04,4.88,Entire home/apt,Entire rental unit
3265,0.99,1.0,699.0,156,4.94,4.83,0,2.44,4.97,Entire home/apt,Entire rental unit
3266,1.0,1.0,2531.0,151,4.99,4.91,340,2.36,4.85,Entire home/apt,Entire rental unit
3267,1.0,1.0,2247.0,180,4.89,4.78,168,2.78,4.99,Entire home/apt,Entire rental unit
3268,0.0,1.0,550.0,36,5.0,5.0,80,0.62,5.0,Private room,Private room in condo
3269,1.0,1.0,22715.0,151,4.91,4.85,160,2.32,4.87,Entire home/apt,Entire home
3270,1.0,1.0,1250.0,2,5.0,1.0,267,0.03,1.0,Private room,Private room in rental unit
3271,0.98,1.0,1399.0,2,4.5,3.0,0,0.03,5.0,Entire home/apt,Entire loft
3272,1.0,1.0,656.0,87,4.99,4.92,288,1.32,4.99,Private room,Private room in guest suite
3273,1.0,1.0,879.0,49,4.94,4.88,151,0.79,5.0,Entire home/apt,Entire rental unit
3274,0.0,0.0,2195.0,165,4.91,4.99,57,2.51,4.96,Entire home/apt,Entire rental unit
3275,0.0,0.0,1110.0,96,4.91,4.74,125,1.49,4.88,Entire home/apt,Entire rental unit
3276,0.0,0.0,218.0,7,5.0,4.67,236,0.11,5.0,Private room,Private room in home
3277,0.0,1.0,1200.0,24,4.91,4.91,58,0.37,4.74,Entire home/apt,Entire rental unit
3278,1.0,1.0,1262.0,136,4.99,4.9,105,2.07,4.98,Entire home/apt,Entire rental unit
3279,1.0,1.0,1879.0,232,4.82,4.87,167,3.61,4.95,Entire home/apt,Entire rental unit
3280,1.0,1.0,1994.0,156,4.79,4.86,184,2.42,4.96,Entire home/apt,Entire rental unit
3281,0.33,0.0,277.0,0,4.98,4.94,365,2.02,4.93,Private room,Private room in home
3282,0.99,1.0,550.0,130,4.98,4.94,75,2.02,4.93,Entire home/apt,Entire rental unit
3283,0.99,0.99,519.0,88,4.94,4.67,117,1.54,4.74,Entire home/apt,Entire rental unit
3284,0.99,0.99,541.0,153,4.89,4.7,345,2.32,4.77,Entire home/apt,Entire rental unit
3285,1.0,1.0,495.0,100,4.99,4.87,176,1.55,4.94,Private room,Private room in rental unit
3286,1.0,1.0,1190.0,180,4.93,4.97,336,2.74,5.0,Entire home/apt,Entire condo
3287,1.0,1.0,997.0,220,4.93,4.72,246,3.41,4.85,Entire home/apt,Entire condo
3288,0.98,1.0,1499.0,31,4.81,4.61,335,0.47,4.71,Entire home/apt,Entire rental unit
3289,0.82,0.98,2608.0,27,5.0,4.81,263,0.41,4.81,Entire home/apt,Entire rental unit
3290,1.0,1.0,1900.0,0,4.85,4.97,358,5.54,4.95,Entire home/apt,Entire rental unit
3291,1.0,1.0,986.0,355,4.85,4.97,347,5.54,4.95,Entire home/apt,Entire rental unit
3292,1.0,1.0,761.0,292,4.98,4.93,177,4.51,4.95,Private room,Private room in home
3293,0.97,1.0,630.0,232,4.78,4.84,139,3.6,4.97,Entire home/apt,Entire loft
3294,1.0,1.0,518.0,204,4.71,4.72,358,3.17,4.86,Entire home/apt,Entire loft
3295,0.83,1.0,205.0,21,4.95,4.67,323,0.47,5.0,Private room,Private room in home
3296,0.66,0.8,215.0,22,4.64,3.82,179,0.39,4.77,Private room,Private room in rental unit
3297,1.0,0.63,1450.0,4,5.0,4.25,87,0.13,5.0,Entire home/apt,Entire condo
3298,0.92,0.63,250.0,23,4.96,4.87,326,0.38,5.0,Private room,Private room in home
