,host_acceptance_rate,host_response_rate,price,number_of_reviews,review_scores_location,review_scores_cleanliness,availability_365,reviews_per_month,review_scores_communication,room_type,property_type
63,0.58,0.92,2561.0,237,4.43,4.8,266,1.91,4.94,Entire home/apt,Entire home
64,0.6,1.0,1000.0,294,4.9,4.56,313,2.64,4.82,Entire home/apt,Entire rental unit
65,0.91,1.0,1532.0,54,4.92,4.94,330,0.44,4.96,Entire home/apt,Entire rental unit
66,0.86,1.0,3162.0,7,5.0,5.0,287,0.07,5.0,Hotel room,Room in serviced apartment
67,1.0,1.0,726.0,389,4.95,4.65,334,3.32,4.87,Entire home/apt,Entire guest suite
68,0.0,1.0,545.0,0,4.94,4.87,365,2.01,4.92,Private room,Private room in rental unit
69,0.92,1.0,699.0,223,4.94,4.87,336,2.01,4.92,Private room,Private room in rental unit
70,0.0,1.0,1362.0,119,4.9,4.88,0,0.89,4.73,Entire home/apt,Entire rental unit
71,0.75,1.0,1200.0,189,4.85,4.6,296,1.41,4.8,Entire home/apt,Entire rental unit
72,1.0,1.0,796.0,147,4.44,4.71,188,1.22,4.92,Entire home/apt,Entire serviced apartment
73,0.85,1.0,2269.0,1,5.0,5.0,0,0.01,5.0,Entire home/apt,Entire rental unit
74,1.0,1.0,1556.0,491,4.93,4.92,312,4.04,4.93,Entire home/apt,Tiny home
75,1.0,1.0,545.0,46,4.44,4.73,167,0.38,4.91,Entire home/apt,Entire rental unit
76,0.0,1.0,457.0,107,4.93,4.85,162,0.96,4.86,Private room,Private room in condo
77,1.0,1.0,1448.0,274,4.93,4.82,288,2.49,4.94,Entire home/apt,Entire loft
78,1.0,1.0,327.0,204,4.74,4.83,120,1.66,4.93,Private room,Private room in home
79,1.0,0.9,1362.0,428,4.96,4.92,313,3.56,4.69,Entire home/apt,Entire condo
80,1.0,1.0,1949.0,71,4.97,4.96,179,0.6,4.87,Entire home/apt,Entire home
81,0.93,1.0,713.0,132,4.87,4.72,365,1.42,4.94,Private room,Private room in rental unit
82,0.71,1.0,6354.0,20,4.95,5.0,331,0.17,5.0,Entire home/apt,Entire home
83,1.0,1.0,327.0,51,4.94,4.9,253,0.45,4.94,Private room,Private room in home
84,1.0,1.0,529.0,120,4.89,4.8,90,1.24,4.93,Private room,Private room in condo
85,1.0,1.0,272.0,17,4.56,4.76,0,0.25,5.0,Private room,Private room in home
86,0.88,1.0,450.0,13,4.92,4.23,114,0.12,4.85,Private room,Private room in rental unit
87,1.0,1.0,1398.0,337,4.91,4.84,184,2.51,4.94,Entire home/apt,Entire rental unit
88,1.0,1.0,1006.0,0,4.93,4.96,365,0.24,4.75,Private room,Private room in rental unit
89,1.0,1.0,896.0,28,4.93,4.96,364,0.24,4.75,Private room,Private room in condo
90,0.86,0.83,1036.0,152,4.97,4.97,292,1.33,4.91,Private room,Private room in guest suite
91,1.0,1.0,500.0,2,5.0,5.0,364,0.4,5.0,Private room,Private room in rental unit
92,0.99,1.0,1452.0,35,4.94,4.91,344,0.28,4.79,Entire home/apt,Entire rental unit
93,0.88,1.0,400.0,17,4.88,4.75,365,0.18,4.88,Private room,Private room in rental unit
94,1.0,1.0,1400.0,217,4.99,4.88,162,3.18,4.98,Entire home/apt,Entire rental unit
95,0.99,1.0,615.0,418,4.76,4.51,142,3.12,4.72,Entire home/apt,Entire loft
96,0.46,0.6,14143.0,51,4.98,4.73,365,0.39,4.84,Private room,Private room in bed and breakfast
97,0.92,1.0,450.0,37,4.89,4.84,362,0.37,4.97,Private room,Private room in rental unit
98,0.77,1.0,1250.0,27,4.88,4.62,284,0.24,4.96,Entire home/apt,Entire rental unit
99,0.82,0.67,450.0,46,4.76,4.91,348,0.42,4.71,Private room,Private room in rental unit
100,0.77,1.0,385.0,9,4.89,5.0,357,0.1,4.89,Private room,Private room in rental unit
101,0.0,0.6,700.0,0,4.94,4.94,364,0.15,4.75,Private room,Private room in rental unit
102,0.85,1.0,295.0,16,4.94,4.94,363,0.15,4.75,Private room,Private room in rental unit
103,1.0,1.0,1180.0,17,4.88,4.76,207,0.15,4.53,Entire home/apt,Entire rental unit
104,1.0,1.0,4481.0,6,5.0,5.0,90,0.05,5.0,Entire home/apt,Entire home
105,0.99,1.0,1797.0,24,4.75,4.83,360,0.22,4.96,Entire home/apt,Entire rental unit
106,1.0,1.0,700.0,134,4.95,4.6,80,1.12,4.96,Private room,Private room in home
107,1.0,1.0,381.0,17,4.56,5.0,137,0.15,5.0,Private room,Private room in rental unit
108,1.0,1.0,908.0,21,4.95,4.89,2,0.18,4.84,Private room,Private room in home
109,1.0,1.0,2500.0,22,5.0,4.77,72,0.17,4.95,Entire home/apt,Entire condo
110,0.0,1.0,599.0,53,4.96,4.94,88,0.65,4.89,Private room,Private room in rental unit
